hrs	 time	 fatigue
32	 19.6675	 4.8
32.0625	 19.6787	 4.79063
32.125	 19.6899	 4.78125
32.1875	 19.7011	 4.77187
32.25	 19.7124	 4.7625
32.3125	 19.7236	 4.75312
32.375	 19.7349	 4.74375
32.4375	 19.7462	 4.73438
32.5	 19.7575	 4.725
32.5625	 19.7688	 4.71562
32.625	 19.7801	 4.70625
32.6875	 19.7915	 4.69688
32.75	 19.8028	 4.6875
32.8125	 19.8142	 4.67812
32.875	 19.8256	 4.66875
32.9375	 19.837	 4.65938
33	 19.8484	 4.65
33.0625	 19.8598	 4.64062
33.125	 19.8713	 4.63125
33.1875	 19.8827	 4.62188
33.25	 19.8942	 4.6125
33.3125	 19.9057	 4.60313
33.375	 19.9172	 4.59375
33.4375	 19.9287	 4.58437
33.5	 19.9402	 4.575
33.5625	 19.9518	 4.56563
33.625	 19.9634	 4.55625
33.6875	 19.975	 4.54688
33.75	 19.9866	 4.5375
33.8125	 19.9982	 4.52812
33.875	 20.0098	 4.51875
33.9375	 20.0215	 4.50938
34	 20.0332	 4.5
34.0625	 20.0692	 4.46875
34.125	 20.1054	 4.4375
34.1875	 20.1419	 4.40625
34.25	 20.1785	 4.375
34.3125	 20.2154	 4.34375
34.375	 20.2525	 4.3125
34.4375	 20.2899	 4.28125
34.5	 20.3275	 4.25
34.5625	 20.3653	 4.21875
34.625	 20.4035	 4.1875
34.6875	 20.4419	 4.15625
34.75	 20.4805	 4.125
34.8125	 20.5195	 4.09375
34.875	 20.5588	 4.0625
34.9375	 20.5984	 4.03125
35	 20.6384	 4
35.0625	 20.6787	 3.96875
35.125	 20.7193	 3.9375
35.1875	 20.7603	 3.90625
35.25	 20.8017	 3.875
35.3125	 20.8436	 3.84375
35.375	 20.8858	 3.8125
35.4375	 20.9285	 3.78125
35.5	 20.9716	 3.75
35.5625	 21.0152	 3.71875
35.625	 21.0594	 3.6875
35.6875	 21.104	 3.65625
35.75	 21.1492	 3.625
35.8125	 21.195	 3.59375
35.875	 21.2414	 3.5625
35.9375	 21.2885	 3.53125
36	 21.3362	 3.5
36.0625	 21.3147	 3.51562
36.125	 21.2933	 3.53125
36.1875	 21.272	 3.54688
36.25	 21.2509	 3.5625
36.3125	 21.2299	 3.57812
36.375	 21.209	 3.59375
36.4375	 21.1882	 3.60938
36.5	 21.1676	 3.625
36.5625	 21.1471	 3.64062
36.625	 21.1267	 3.65625
36.6875	 21.1064	 3.67188
36.75	 21.0862	 3.6875
36.8125	 21.0661	 3.70312
36.875	 21.0462	 3.71875
36.9375	 21.0263	 3.73438
37	 21.0065	 3.75
37.0625	 20.9869	 3.76562
37.125	 20.9673	 3.78125
37.1875	 20.9478	 3.79688
37.25	 20.9284	 3.8125
37.3125	 20.9092	 3.82812
37.375	 20.89	 3.84375
37.4375	 20.8708	 3.85938
37.5	 20.8518	 3.875
37.5625	 20.8329	 3.89062
37.625	 20.814	 3.90625
37.6875	 20.7952	 3.92188
37.75	 20.7765	 3.9375
37.8125	 20.7579	 3.95312
37.875	 20.7394	 3.96875
37.9375	 20.7209	 3.98438
38	 20.7025	 4
38.0625	 20.6647	 4.03125
38.125	 20.6272	 4.0625
38.1875	 20.5899	 4.09375
38.25	 20.553	 4.125
38.3125	 20.5163	 4.15625
38.375	 20.4799	 4.1875
38.4375	 20.4438	 4.21875
38.5	 20.4079	 4.25
38.5625	 20.3723	 4.28125
38.625	 20.3369	 4.3125
38.6875	 20.3017	 4.34375
38.75	 20.2667	 4.375
38.8125	 20.232	 4.40625
38.875	 20.1974	 4.4375
38.9375	 20.1631	 4.46875
39	 20.1289	 4.5
39.0625	 20.095	 4.53125
39.125	 20.0612	 4.5625
39.1875	 20.0276	 4.59375
39.25	 19.9941	 4.625
39.3125	 19.9608	 4.65625
39.375	 19.9277	 4.6875
39.4375	 19.8948	 4.71875
39.5	 19.862	 4.75
39.5625	 19.8293	 4.78125
39.625	 19.7968	 4.8125
39.6875	 19.7644	 4.84375
39.75	 19.7321	 4.875
39.8125	 19.7	 4.90625
39.875	 19.668	 4.9375
39.9375	 19.6362	 4.96875
40	 19.6044	 5
40.0625	 19.5728	 5.03125
40.125	 19.5413	 5.0625
40.1875	 19.5098	 5.09375
40.25	 19.4785	 5.125
40.3125	 19.4473	 5.15625
40.375	 19.4162	 5.1875
40.4375	 19.3852	 5.21875
40.5	 19.3543	 5.25
40.5625	 19.3234	 5.28125
40.625	 19.2927	 5.3125
40.6875	 19.262	 5.34375
40.75	 19.2315	 5.375
40.8125	 19.201	 5.40625
40.875	 19.1706	 5.4375
40.9375	 19.1402	 5.46875
41	 19.1099	 5.5
41.0625	 19.0797	 5.53125
41.125	 19.0496	 5.5625
41.1875	 19.0195	 5.59375
41.25	 18.9895	 5.625
41.3125	 18.9596	 5.65625
41.375	 18.9297	 5.6875
